epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,172.879,1.75102,2.07346,1.6096,0.46257,0.35146,0.3544,0.15531,2.2045,2.15181,2.0373,0.000665703,0.000665703,0.000665703
2,315.019,1.77098,1.7799,1.63396,0.51307,0.43443,0.42454,0.18049,2.07378,2.07384,1.92037,0.00130599,0.00130599,0.00130599
3,460.323,1.75355,1.70748,1.62718,0.56042,0.47827,0.49807,0.21956,1.96457,1.8605,1.78527,0.00191987,0.00191987,0.00191987
4,598.51,1.72233,1.64952,1.61032,0.59572,0.46089,0.48751,0.21963,1.97122,1.9046,1.82391,0.0018812,0.0018812,0.0018812
5,733.061,1.68364,1.58064,1.57436,0.56644,0.46869,0.49146,0.22538,1.95917,1.8069,1.78772,0.0018416,0.0018416,0.0018416
6,864.658,1.64946,1.54292,1.5531,0.64922,0.54825,0.5962,0.28942,1.86262,1.54646,1.74609,0.001802,0.001802,0.001802
7,997.122,1.61962,1.48861,1.53923,0.6697,0.55405,0.61828,0.30776,1.8177,1.53317,1.70116,0.0017624,0.0017624,0.0017624
8,1121.59,1.59962,1.44946,1.52356,0.67443,0.56452,0.6231,0.3104,1.81251,1.52423,1.71157,0.0017228,0.0017228,0.0017228
9,1241.58,1.58143,1.41932,1.50883,0.6578,0.5852,0.63121,0.32118,1.79092,1.48083,1.68624,0.0016832,0.0016832,0.0016832
10,1360.9,1.56057,1.3913,1.49638,0.67183,0.55338,0.61716,0.31348,1.80194,1.47327,1.68766,0.0016436,0.0016436,0.0016436
11,1481.28,1.54943,1.35614,1.48104,0.70492,0.59438,0.66874,0.33784,1.76502,1.41445,1.63798,0.001604,0.001604,0.001604
12,1600.81,1.54395,1.34368,1.4727,0.71932,0.60713,0.677,0.3467,1.77666,1.3631,1.6474,0.0015644,0.0015644,0.0015644
13,1740.93,1.52591,1.33087,1.47216,0.70284,0.60512,0.67342,0.3542,1.71565,1.3606,1.62983,0.0015248,0.0015248,0.0015248
14,1862.99,1.51059,1.29465,1.45718,0.7246,0.60352,0.67584,0.35464,1.72342,1.36685,1.61744,0.0014852,0.0014852,0.0014852
15,1980.73,1.50308,1.30181,1.45881,0.7075,0.61993,0.68557,0.36083,1.70777,1.32733,1.60694,0.0014456,0.0014456,0.0014456
16,2096.42,1.49238,1.27384,1.4498,0.7274,0.63918,0.70201,0.375,1.6951,1.29103,1.59453,0.001406,0.001406,0.001406
17,2213.11,1.48197,1.24365,1.43392,0.7457,0.6267,0.70896,0.38221,1.6751,1.23158,1.58538,0.0013664,0.0013664,0.0013664
18,2332.59,1.46734,1.23502,1.43059,0.73986,0.63472,0.71146,0.38298,1.6892,1.24842,1.5821,0.0013268,0.0013268,0.0013268
19,2459.85,1.45244,1.21553,1.41793,0.74086,0.64482,0.71768,0.38853,1.66612,1.21668,1.57847,0.0012872,0.0012872,0.0012872
20,2579.69,1.44612,1.1951,1.40951,0.74381,0.66583,0.73192,0.3988,1.65346,1.20072,1.55668,0.0012476,0.0012476,0.0012476
21,2699.34,1.43732,1.18205,1.4034,0.73748,0.65456,0.71741,0.3915,1.66207,1.21519,1.56717,0.001208,0.001208,0.001208
22,2817.11,1.424,1.16525,1.40025,0.75539,0.65797,0.73761,0.40656,1.61158,1.1873,1.53263,0.0011684,0.0011684,0.0011684
